,DrugName,ActiveIngredient
2370,TRIDESILON,"ACETIC ACID, GLACIAL; DESONIDE"
2371,DURAQUIN,QUINIDINE GLUCONATE
2372,ORTHO-NOVUM 1/35-28,ETHINYL ESTRADIOL; NORETHINDRONE
2373,TAGAMET,CIMETIDINE
2377,DDAVP,DESMOPRESSIN ACETATE
2379,DDAVP (NEEDS NO REFRIGERATION),DESMOPRESSIN ACETATE
2380,MELLARIL-S,THIORIDAZINE
2382,TAGAMET,CIMETIDINE HYDROCHLORIDE
2385,SUDAFED 12 HOUR,PSEUDOEPHEDRINE HYDROCHLORIDE
2386,PROLOPRIM,TRIMETHOPRIM
2388,MPI DMSA KIDNEY REAGENT,TECHNETIUM TC-99M SUCCIMER KIT
2389,NORMINEST FE,ETHINYL ESTRADIOL;NORETHINDRONE; FERROUS FUMARATE
2390,WESTCORT,HYDROCORTISONE VALERATE
2391,TRIMPEX,TRIMETHOPRIM
2392,TRIMPEX 200,TRIMETHOPRIM
2393,BRETYLOL,BRETYLIUM TOSYLATE
2395,TEPANIL TEN-TAB,DIETHYLPROPION HYDROCHLORIDE
2396,VEINAMINE 8%,AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM ACETATE; POTASSIUM CHLORIDE; SODIUM ACETATE
2397,NOVAMINE 8.5%,AMINO ACIDS
2398,NOVAMINE 11.4%,AMINO ACIDS
2399,NOVAMINE 15%,AMINO ACIDS
2400,ADRUCIL,FLUOROURACIL
2401,PARLODEL,BROMOCRIPTINE MESYLATE
2403,LOPRESSOR,METOPROLOL TARTRATE
2405,DEPO-TESTADIOL,ESTRADIOL CYPIONATE; TESTOSTERONE CYPIONATE
2406,NOLVADEX,TAMOXIFEN CITRATE
2409,OSTEOLITE,TECHNETIUM TC-99M MEDRONATE KIT
2413,MAZANOR,MAZINDOL
2415,AMIPAQUE,METRIZAMIDE
2419,MINIZIDE,POLYTHIAZIDE; PRAZOSIN HYDROCHLORIDE
2422,HEMABATE,CARBOPROST TROMETHAMINE
2425,PSORCON E,DIFLORASONE DIACETATE
2427,DEXTROSE 60%,DEXTROSE
2430,MECLOMEN,MECLOFENAMATE SODIUM
2432,"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 20MEQ (K) IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2433,"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 5MEQ IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2434,"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 15MEQ IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2435,POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2436,POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2438,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2439,POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2440,POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2442,SARENIN,SARALASIN ACETATE
2443,PAMELOR,NORTRIPTYLINE HYDROCHLORIDE
2448,DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE
2450,BLOCADREN,TIMOLOL MALEATE
2453,ASENDIN,AMOXAPINE
2458,NUBAIN,NALBUPHINE HYDROCHLORIDE
2460,FUROSEMIDE,FUROSEMIDE
2462,LITHOBID,LITHIUM CARBONATE
2463,RITALIN-SR,METHYLPHENIDATE HYDROCHLORIDE
2466,DEXTROSE 5% AND SODIUM CHLORIDE 0.33% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
2467,DEXTROSE 5% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
2468,DEXTROSE 5% AND SODIUM CHLORIDE 0.11% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
2469,INDERIDE-40/25,HYDROCHLOROTHIAZIDE; PROPRANOLOL HYDROCHLORIDE
2470,INDERIDE-80/25,HYDROCHLOROTHIAZIDE; PROPRANOLOL HYDROCHLORIDE
2471,DRAXIMAGE MDP-10,TECHNETIUM TC-99M MEDRONATE
2472,DRAXIMAGE MDP-25,TECHNETIUM TC-99M MEDRONATE
2473,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 20MEQ (K)",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2474,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 5MEQ",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2475,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 5MEQ (K)",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2476,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 15MEQ (K)",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2477,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 30MEQ",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2478,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 10MEQ",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2480,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 20MEQ",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2481,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 40MEQ",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2482,LOXITANE IM,LOXAPINE HYDROCHLORIDE
2483,MONISTAT,MICONAZOLE
2484,ROCALTROL,CALCITRIOL
2486,EMCYT,ESTRAMUSTINE PHOSPHATE SODIUM
2489,CORSYM,CHLORPHENIRAMINE POLISTIREX; PHENYLPROPANOLAMINE POLISTIREX
2491,BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE
2494,DEXTROSE 3.3% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
2495,PLATINOL,CISPLATIN
2497,PLATINOL-AQ,CISPLATIN
2498,CISPLATIN,CISPLATIN
2500,ACEPHEN,ACETAMINOPHEN
2503,TIMOLIDE 10-25,HYDROCHLOROTHIAZIDE; TIMOLOL MALEATE
2505,CORGARD,NADOLOL
2510,UNISOM,DOXYLAMINE SUCCINATE
2511,CINOBAC,CINOXACIN
2513,VANSIL,OXAMNIQUINE
2514,PHENDIMETRAZINE TARTRATE,PHENDIMETRAZINE TARTRATE
2515,CHOLOVUE,IODOXAMATE MEGLUMINE
2518,DEPAKENE,VALPROIC ACID
2520,TOLECTIN DS,TOLMETIN SODIUM
2521,TIMOPTIC,TIMOLOL MALEATE
2523,THYREL TRH,PROTIRELIN
2524,MPI KRYPTON 81M GENERATOR,"KRYPTON, KR-81M"
2529,MEDROL,METHYLPREDNISOLONE ACETATE
2530,HYLOREL,GUANADREL SULFATE
2532,MDP-BRACCO,TECHNETIUM TC-99M MEDRONATE KIT
2534,TRIAMINIC-12,CHLORPHENIRAMINE MALEATE; PHENYLPROPANOLAMINE HYDROCHLORIDE
2535,CYCLOCORT,AMCINONIDE
2537,AZMACORT,TRIAMCINOLONE ACETONIDE
2538,LANOXICAPS,DIGOXIN
2542,FACTREL,GONADORELIN HYDROCHLORIDE
2545,CIS-MDP,TECHNETIUM TC-99M MEDRONATE KIT
2556,TECHNETIUM TC 99M MPI MDP,TECHNETIUM TC-99M MEDRONATE KIT
2561,FELDENE,PIROXICAM
2563,NASALIDE,FLUNISOLIDE
2565,ESKALITH CR,LITHIUM CARBONATE
2566,BECLOVENT,BECLOMETHASONE DIPROPIONATE
2567,LONITEN,MINOXIDIL
2569,OPTICROM,CROMOLYN SODIUM
2571,DEMULEN 1/35-28,ETHINYL ESTRADIOL; ETHYNODIOL DIACETATE
2573,RESTORIL,TEMAZEPAM
2577,ANAPROX,NAPROXEN SODIUM
2578,ANAPROX DS,NAPROXEN SODIUM
2579,TRASICOR,OXPRENOLOL HYDROCHLORIDE
2583,DEMULEN 1/35-21,ETHINYL ESTRADIOL; ETHYNODIOL DIACETATE
2584,FLUIDIL,CYCLOTHIAZIDE
2585,VALRELEASE,DIAZEPAM
2586,MYCELEX,CLOTRIMAZOLE
2588,MYCELEX-7,CLOTRIMAZOLE
2591,INDOCIN SR,INDOMETHACIN
2593,AFRINOL,PSEUDOEPHEDRINE SULFATE
2594,IBU,IBUPROFEN
2595,RUFEN,IBUPROFEN
2596,MIDAMOR,AMILORIDE HYDROCHLORIDE
2597,MODURETIC 5-50,AMILORIDE HYDROCHLORIDE; HYDROCHLOROTHIAZIDE
2598,CYTADREN,AMINOGLUTETHIMIDE
2599,LIPOSYN 10%,SAFFLOWER OIL
2600,TATUM-T,COPPER
2601,LO/OVRAL FE,ETHINYL ESTRADIOL; LEVONORGESTREL; FERROUS FUMARATE
2602,DESYREL,TRAZODONE HYDROCHLORIDE
2607,BUMEX,BUMETANIDE
2611,AMIDATE,ETOMIDATE
2612,DEXTROSE 10% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
2614,SOMOPHYLLIN,AMINOPHYLLINE
2615,STERILE WATER FOR INJECTION IN PLASTIC CONTAINER,STERILE WATER FOR INJECTION
2616,HALOG-E,HALCINONIDE
2617,CALCIPARINE,HEPARIN CALCIUM
2618,MICRO-K,POTASSIUM CHLORIDE
2619,MICRO-K 10,POTASSIUM CHLORIDE
2620,PROPINE,DIPIVEFRIN HYDROCHLORIDE
2621,TENORMIN,ATENOLOL
2624,ALLOPURINOL,ALLOPURINOL
2626,SULFAMETHOXAZOLE AND TRIMETHOPRIM,SULFAMETHOXAZOLE; TRIMETHOPRIM
2628,OXYTOCIN,OXYTOCIN
2632,SODIUM CHLORIDE IN PLASTIC CONTAINER,SODIUM CHLORIDE
2638,ISOLYTE S IN PLASTIC CONTAINER,MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
2639,DEXTROSE 5% AND RINGER'S IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2641,TONOCARD,TOCAINIDE HYDROCHLORIDE
2643,DEXTROSE 5% IN ACETATED RINGER'S IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
2644,PITOCIN,OXYTOCIN
2647,MICROLITE,TECHNETIUM TC-99M ALBUMIN COLLOID KIT
2650,"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 0.15% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2651,"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 0.22% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2652,"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 0.3% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2653,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 0.15% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2654,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 0.224% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2655,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 0.3% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2656,"DEXTROSE 5%, SODIUM CHLORIDE 0.2% AND POTASSIUM CHLORIDE 0.075%",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2657,"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 0.075%",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2658,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 0.075% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2659,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 0.15% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2660,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 0.22% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2661,"DEXTROSE 5%, SODIUM CHLORIDE 0.33% AND POTASSIUM CHLORIDE 0.30% IN PLASTIC CONTAINER",DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2662,ISOLYTE E W/ DEXTROSE 5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE
2663,ISOLYTE M W/ DEXTROSE 5% IN PLASTIC CONTAINER,"DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE"
2664,ISOLYTE R W/ DEXTROSE 5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
2665,TECHNESCAN GLUCEPTATE,TECHNETIUM TC-99M GLUCEPTATE KIT
2666,ISOLYTE H W/ DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
2667,ISOLYTE S W/ DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
2668,XANAX,ALPRAZOLAM
2672,K-TAB,POTASSIUM CHLORIDE
2676,VISKEN,PINDOLOL
2678,NEPHROFLOW,IODOHIPPURATE SODIUM I-123
2679,SECRETIN-FERRING,SECRETIN
2680,TYMTRAN,CERULETIDE DIETHYLAMINE
2681,LOPURIN,ALLOPURINOL
2683,VIROPTIC,TRIFLURIDINE
2684,HIBISTAT,CHLORHEXIDINE GLUCONATE
2685,LOPRESSOR HCT,HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE
2688,SENSORCAINE,BUPIVACAINE HYDROCHLORIDE
2691,SENSORCAINE,BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE
2693,THYRO-BLOCK,POTASSIUM IODIDE
2694,TOPICORT LP,DESOXIMETASONE
2695,LYMPHAZURIN,ISOSULFAN BLUE
2696,CALDEROL,CALCIFEDIOL
2702,TECHNESCAN,TECHNETIUM TC-99M OXIDRONATE KIT
2706,CARAFATE,SUCRALFATE
2707,AMERSCAN MDP KIT,TECHNETIUM TC-99M MEDRONATE KIT
2708,TIS-U-SOL IN PLASTIC CONTAINER,"MAGNESIUM SULFATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM PHOSPHATE"
2709,ACETAMINOPHEN,ACETAMINOPHEN
2712,INFANTS' FEVERALL,ACETAMINOPHEN
2713,AEROBID,FLUNISOLIDE
2714,WELLCOVORIN,LEUCOVORIN CALCIUM
2716,CAPOTEN,CAPTOPRIL
2723,FLAGYL I.V.,METRONIDAZOLE HYDROCHLORIDE
2724,FLAGYL I.V. RTU IN PLASTIC CONTAINER,METRONIDAZOLE
2725,ORTHO-NOVUM 10/11-21,ETHINYL ESTRADIOL; NORETHINDRONE
2726,ORTHO-NOVUM 10/11-28,ETHINYL ESTRADIOL; NORETHINDRONE
2727,DEXTROSE 2.5% IN PLASTIC CONTAINER,DEXTROSE
2728,SEROPHENE,CLOMIPHENE CITRATE
2733,POTASSIUM CHLORIDE 15MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2738,HEXASCRUB,HEXACHLOROPHENE
2739,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2740,POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2741,POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2742,POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2743,POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2746,POTASSIUM CHLORIDE 15MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
2748,CHYMEX,BENTIROMIDE
2753,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE
2754,POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE
2755,POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% IN PLASTIC CONTAINER,DEXTROSE; POTASSIUM CHLORIDE
2757,TURGEX,HEXACHLOROPHENE
2758,DEXTROSE 2.5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
2759,DELFLEX W/ DEXTROSE 4.25% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
2760,DELFLEX W/ DEXTROSE 1.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
2761,DELFLEX W/ DEXTROSE 2.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
2762,DELFLEX-LM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
2763,DELFLEX-LM W/ DEXTROSE 2.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
2764,DELFLEX-LM W/ DEXTROSE 4.25% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
2765,DELFLEX W/ DEXTROSE 3.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
2766,DELFLEX-LM W/ DEXTROSE 3.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
2768,ULTRALENTE,INSULIN ZINC SUSP EXTENDED PURIFIED BEEF
2769,DEXTROSE 10% AND SODIUM CHLORIDE 0.2% IN PLASTIC CONTAINER,DEXTROSE; SODIUM CHLORIDE
2770,LIDOCAINE HYDROCHLORIDE 0.2% IN DEXTROSE 5% IN PLASTIC CONTAINER,LIDOCAINE HYDROCHLORIDE
2771,LIDOCAINE HYDROCHLORIDE 0.4% IN DEXTROSE 5% IN PLASTIC CONTAINER,LIDOCAINE HYDROCHLORIDE
2772,LIDOCAINE HYDROCHLORIDE 0.8% IN DEXTROSE 5% IN PLASTIC CONTAINER,LIDOCAINE HYDROCHLORIDE
2774,CHLOR-TRIMETON,CHLORPHENIRAMINE MALEATE; PSEUDOEPHEDRINE SULFATE
2779,BUPRENEX,BUPRENORPHINE HYDROCHLORIDE
2780,AYGESTIN,NORETHINDRONE ACETATE
2782,PHYSIOSOL PH 7.4 IN PLASTIC CONTAINER,MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE
2794,LITHIUM CITRATE,LITHIUM CITRATE
2795,LOPID,GEMFIBROZIL
2799,AMINOSYN-RF 5.2%,AMINO ACIDS
2800,MVC PLUS,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E
2801,M.V.C. 9+3,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E
2802,DOLOBID,DIFLUNISAL
2804,INTRALIPID 20%,SOYBEAN OIL
2805,NITROPRESS,SODIUM NITROPRUSSIDE
2807,TALACEN,ACETAMINOPHEN; PENTAZOCINE HYDROCHLORIDE
2809,DIALYTE W/ DEXTROSE 1.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
2810,DIALYTE LM/ DEXTROSE 1.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
2811,DIALYTE W/ DEXTROSE 4.25% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
2812,DIALYTE LM/ DEXTROSE 4.25% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
2813,DIALYTE LM/ DEXTROSE 2.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
2814,DIALYTE LM/ DEXTROSE 2.5% IN PLASTIC CONTAINER,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
2818,LIDOCAINE HYDROCHLORIDE 0.1% AND DEXTROSE 5% IN PLASTIC CONTAINER,LIDOCAINE HYDROCHLORIDE
2819,LIDOCAINE HYDROCHLORIDE 0.2% AND DEXTROSE 5% IN PLASTIC CONTAINER,LIDOCAINE HYDROCHLORIDE
2820,LIDOCAINE HYDROCHLORIDE 0.4% AND DEXTROSE 5% IN PLASTIC CONTAINER,LIDOCAINE HYDROCHLORIDE
2821,LIDOCAINE HYDROCHLORIDE 0.8% AND DEXTROSE 5% IN PLASTIC CONTAINER,LIDOCAINE HYDROCHLORIDE
2823,SOYACAL 10%,SOYBEAN OIL
2824,HEPATOLITE,TECHNETIUM TC-99M DISOFENIN KIT
2825,BSS PLUS,CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE
2826,CIBACALCIN,CALCITONIN HUMAN
2827,OCUCLEAR,OXYMETAZOLINE HYDROCHLORIDE
2828,VENTOLIN,ALBUTEROL
2829,PROCARDIA,NIFEDIPINE
2831,PROSTIN VR PEDIATRIC,ALPROSTADIL
2832,ISOPTIN,VERAPAMIL HYDROCHLORIDE
2835,TECHNESCAN HIDA,TECHNETIUM TC-99M LIDOFENIN KIT
2846,TRINALIN,AZATADINE MALEATE; PSEUDOEPHEDRINE SULFATE
2848,TIS-U-SOL,"MAGNESIUM SULFATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM PHOSPHATE"
2849,BAROS,SODIUM BICARBONATE; TARTARIC ACID
2850,DRAXIMAGE DTPA,TECHNETIUM TC-99M PENTETATE KIT
2852,CHENIX,CHENODIOL
2853,LOCOID,HYDROCORTISONE BUTYRATE
2854,METRONIDAZOLE,METRONIDAZOLE
2856,IRRIGATING SOLUTION G IN PLASTIC CONTAINER,CITRIC ACID; MAGNESIUM OXIDE; SODIUM CARBONATE
2858,VANCENASE,BECLOMETHASONE DIPROPIONATE
2861,NITROGLYCERIN,NITROGLYCERIN
2862,NIZORAL,KETOCONAZOLE
2863,DIULO,METOLAZONE
2866,XENON XE 127,XENON XE-127
2868,TRIDIL,NITROGLYCERIN
2870,LOZOL,INDAPAMIDE
2876,RIMADYL,CARPROFEN
2878,POTASSIUM IODIDE,POTASSIUM IODIDE
2879,INDERAL LA,PROPRANOLOL HYDROCHLORIDE
2883,EULEXIN,FLUTAMIDE
2884,YUTOPAR,RITODRINE HYDROCHLORIDE
2885,FANSIDAR,PYRIMETHAMINE; SULFADOXINE
2891,DURAMORPH PF,MORPHINE SULFATE
2893,INFUMORPH,MORPHINE SULFATE
2899,SSD,SILVER SULFADIAZINE
2900,SSD AF,SILVER SULFADIAZINE
2904,SODIUM NITROPRUSSIDE,SODIUM NITROPRUSSIDE
2905,PROCALAMINE,AMINO ACIDS; CALCIUM ACETATE; GLYCERIN; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
2906,BECONASE,BECLOMETHASONE DIPROPIONATE
2908,WYTENSIN,GUANABENZ ACETATE
2911,NITROSTAT,NITROGLYCERIN
